,*,E390,
,.,E37E,
,?,E316,
,Aaron,Eb0d,Acts 7:40
,Abaddon,ecd7,Rev 9:11
,Abarim,e38b,Num 27:12
,Abdon,e51c,
,Abel,EA96,Gen 25:4
,Abel_Mizraim,efa9,Gen 50:11
,Abiasaph,e2dd,Exod 6:24
,Abiathar,E35F,Mark 2:26
,Abida,eef8,Gen 25:4
,Abidah,e2f3,Gen 25:4
,Abidan,e1f7,Num 1:11
,abide,E17B,
,Abiezer,e464,Josh17:2
,Abihail,e1f8,Num 3:35
,Abihu,e2de,Exod 28:1
,Abijah,EA5B,Luke 1:5
,Abilene,Ec4d,Luke 3:1
,ability,E124,
,Abimael,e0fb,Gen 10:28
,Abimelech,e0ab,Gen 26:1
,Abinadab,e4e6,
,Abiram,e480,Num 16:1
ຬ,Abishag,eac,
,Abiud,EA6A,Matt 1:13
,Abner,e484,1 Sam 14:50
,abomination,E0a4,
,about,E11B,
,above,E110,
,Abraham,E373,Matt 1:1
,Abram,e1d1,Gen 12:1
,Abronah,e3d6,Num 33:34
,Absalom,e4ad,
,Abyss,Ec4e,Luke 8:31
,according_to,E24D,
,accuse,E055,
,Achaia,Eb7c,Acts 18:12
,Achaicus,eca5,1 Cor 16:17
,Achan,e4f5,
,Achim,EA6E,Matt 1:14
,Achish,e45e,1 Sam 21:10
,Achor,e4cc,
,Adadah,e4c9,
,Adah,eda7,Gen 4:19
,Adam_man,Ec4f,
,Adam_village,e4f6,
,Adbeel,e0fe,Gen 25:13
,Addar,e4ce,
,Addi,Ec50,Luke 3:28
,Addumim,e4cf,
,Adithaim,e4d0,
,Admah,eda8,Gen 10:19
,Admin,Ec51,Luke 3:33
,Adoni_Zedek,e427,Josh 10:1
,Adonijah,e4ae,
,adopt,E177,
,adoption,E177,
,Adramyttium,Eb93,Acts 27:2
,Adriatic_Sea,Ec17,Acts 27:27
,Adullam,efaa,Gen 38:1
,adultery,E027,
,Aeneas,Ec2a,Acts 9:33
,Aenon,Eba1,John 3:23
,afraid,E056,
,after,E11D,
,Agabus,Eb89,Acts 11:28
,Agag,e3e0,Num 24:27
,against,E330,
,Agrippa,Eb9d,Acts 25:13
,Ahasuerus,e48f,Esth 1:1
,Ahaz,EA61,Matt 1:9
,Ahiezer,e2ab,Num 1:12
,Ahihud,e3e1,Num 34:27
,Ahiman,e2ac,Num 13:22
,Ahimelech,e45f,1 Sam 21:1
,Ahira,e2f4,Num 1:15
,Ahiram,e3a1,Num 26:38
,Ahisamak,e0bb,Exod 31:6
,Ahuzzath,eda9,Gen 26:26
,Ai,edaa,Gen 13:3
,Aiah,e0fd,Gen 36:24
,Aijalon,e428,Josh 10:12
,Ain,e3e6,Num 34:11
,air,E312,
,Akan,efe5,Gen 36:27
,Akbor,e0ed,Gen 36:38
,Akkad,edab,Gen 10:10
,Akrabbim,e3d7,Num 34:4
,Aksah,e4d1,
,Akshaph,E43b,Josh 12:20
,Akzib,e48e,
,alabaster,E0d4,
,Alexander,EA14,Acts 19:33
