,*,e390,
,.,e37e,
,?,e316,
,Aaron,eb0d,Acts 7:40
,Abaddon,ecd7,Rev 9:11
,Abarim,e38b,Num 27:12
,Abdiel,e626,1 Chr 16:32
,Abdon_man,e51c,Judg 12:13
,Abdon_village,e605,Josh 21:30
,Abeizer,e557,Judg 8:2
,Abel,ea96,Gen 25:4
,Abel_Beth_Maakah,e5cb,1 Kgs 15:20
,Abel_Keramim,e558,Judg 11:33
,Abel_Meholah,e5c3,1 Sam 18:19
,Abel_Mizraim,efa9,Gen 50:11
,Abiasaph,e2dd,Exod 6:24
,Abiathar,e35f,Mark 2:26
,Abida,eef8,Gen 25:4
,Abidah,e2f3,Gen 25:4
,Abidan,e1f7,Num 1:11
,abide,e17b,
,Abiezer,e464,Josh 17:2
,Abigail,e5c4,1 Sam 25:3
,Abihail,e1f8,Num 3:35
,Abihu,e2de,Exod 28:1
,Abijah_man,ea5b,Luke 1:5
,Abijah_woman,e613,2 Kgs 18:2
,Abilene,ec4d,Luke 3:1
,ability,e124,
,Abimael,e0fb,Gen 10:28
,Abimelech,e0ab,Gen 26:1
,Abinadab,e4e6,1 Sam 31:2
,Abinoam,e56b,Judg 5:12
,Abiram,e480,Num 16:1
,Abishag,e4ac,1 kgs 1:3
,Abiud,ea6a,Matt 1:13
,Abner,e484,1 Sam 14:50
,abomination,e0a4,
,about,e11b,
,above,e110,
,Abraham,e373,Matt 1:1
,Abram,e1d1,Gen 12:1
,Abronah,e3d6,Num 33:34
,Absalom,e4ad,1 Kgs 1:6
,Abyss,ec4e,Luke 8:31
,according_to,e24d,
,accuse,e055,
,Achaia,eb7c,Acts 18:12
,Achaicus,eca5,1 Cor 16:17
,Achan,e4f5,Josh 22:20
,Achim,ea6e,Matt 1:14
,Achish,e45e,1 Sam 21:10
,Achor,e4cc,Josh 15:7
,Adadah,e4c9,Josh 15:20
,Adah,eda7,Gen 4:19
,Adaiah,e5f4,1 Chr 9:12
,Adam_man,ec4f,Gen 2:17
,Adam_village,e4f6,Josh 3:16
,Adamah,e5a1,Josh 19:36
,Adamah,e5a1,Josh 19:36
,Adami_Nekeb,e5b1,Josh 19:33
,Adbeel,e0fe,Gen 25:13
,Addar,e4ce,Josh 15:3
,Addi,ec50,Luke 3:28
,Addumim,e4cf,Josh 15:7
,Adiel,e5f5,1 Chr 9:12
,Adithaim,e4d0,Josh 15:26
,Admah,eda8,Gen 10:19
,Admin,ec51,Luke 3:33
,Adoni_Zedek,e427,Josh 10:1
,Adonijah,e4ae,1 kgs 1:5
,adopt,e177,
,adoption,e177,
,Adramyttium,eb93,Acts 27:2
,Adriatic_Sea,ec17,Acts 27:27
,Adriel,e5c5,1 Sam 18:19
,Adullam,efaa,Gen 38:1
,adultery,e027,
,Aeneas,ec2a,Acts 9:33
,Aenon,eba1,John 3:23
,afraid,e056,
,after,e11d,
,Agabus,eb89,Acts 11:28
,Agag,e3e0,Num 24:27
,against,e330,
,Agrippa,eb9d,Acts 25:13
,Ahab,e60d,Mic 6:16
